Procedure,Pose,ELE,VDW,INT,GAS,PBSUR/GBSUR,PBCAL/GB,PBSOL/GBSOL,PBELE/GBELE,PBTOT/GBTOT
PB1,pose001,0.00,-55.45,-0.00,-55.45,-36.97,42.60,78.25,42.60,22.79
PB1,pose002,0.00,-57.18,-0.00,-57.18,-36.56,48.98,78.10,48.98,20.93
PB1,pose003,0.00,-52.88,-0.00,-52.88,-37.62,42.85,73.42,42.85,20.54
PB1,pose004,0.00,-54.34,-0.00,-54.34,-34.31,36.37,69.24,36.37,14.90
PB1,pose005,0.00,-51.81,-0.00,-51.81,-33.64,29.97,60.66,29.97,8.85
PB1,pose006,0.00,-45.39,-0.00,-45.40,-29.67,38.22,71.00,38.22,25.60
PB1,pose007,0.00,-48.46,-0.00,-48.46,-33.31,33.47,64.71,33.47,16.25
PB1,pose008,0.00,-50.88,-0.00,-50.88,-33.05,33.82,65.07,33.82,14.18
PB1,pose009,0.00,-55.17,-0.00,-55.17,-36.36,46.10,75.60,46.10,20.42
PB1,pose010,0.00,-52.86,-0.00,-52.86,-35.69,34.48,66.00,34.48,13.14
PB3,pose001,0.00,-55.45,-0.00,-55.45,-7.09,55.13,48.04,55.13,-7.41
PB3,pose002,0.00,-57.18,-0.00,-57.18,-6.58,58.53,51.95,58.53,-5.23
PB3,pose003,0.00,-52.88,-0.00,-52.88,-6.90,49.65,42.75,49.65,-10.13
PB3,pose004,0.00,-54.34,-0.00,-54.34,-6.57,48.73,42.16,48.73,-12.18
PB3,pose005,0.00,-51.81,-0.00,-51.81,-6.53,37.84,31.32,37.84,-20.49
PB3,pose006,0.00,-45.39,-0.00,-45.40,-6.16,49.62,43.46,49.62,-1.94
PB3,pose007,0.00,-48.46,-0.00,-48.46,-6.33,42.34,36.01,42.34,-12.45
PB3,pose008,0.00,-50.88,-0.00,-50.88,-6.39,37.46,31.07,37.46,-19.81
PB3,pose009,0.00,-55.17,-0.00,-55.17,-6.73,58.58,51.85,58.58,-3.32
PB3,pose010,0.00,-52.86,-0.00,-52.86,-6.57,44.76,38.19,44.76,-14.68
PB4,pose001,0.00,-55.45,-0.00,-55.45,-8.20,42.98,34.78,42.98,-20.68
PB4,pose002,0.00,-57.18,-0.00,-57.18,-7.52,47.29,39.77,47.29,-17.41
PB4,pose003,0.00,-52.88,-0.00,-52.88,-7.94,45.22,37.28,45.22,-15.61
PB4,pose004,0.00,-54.34,-0.00,-54.34,-7.50,37.45,29.95,37.45,-24.40
PB4,pose005,0.00,-51.81,-0.00,-51.81,-7.45,28.81,21.36,28.81,-30.44
PB4,pose006,0.00,-45.39,-0.00,-45.40,-6.96,41.66,34.70,41.66,-10.70
PB4,pose007,0.00,-48.46,-0.00,-48.46,-7.18,30.80,23.61,30.80,-24.85
PB4,pose008,0.00,-50.88,-0.00,-50.88,-7.26,29.57,22.31,29.57,-28.57
PB4,pose009,0.00,-55.17,-0.00,-55.17,-7.72,47.01,39.29,47.01,-15.88
PB4,pose010,0.00,-52.86,-0.00,-52.86,-7.51,31.63,24.12,31.63,-28.75
GB1,pose001,0.00,-55.45,-0.00,-55.45,-6.91,15.17,8.26,15.17,-47.19
GB1,pose002,0.00,-57.18,-0.00,-57.18,-6.95,17.35,10.40,17.35,-46.78
GB1,pose003,0.00,-52.88,-0.00,-52.88,-7.04,16.13,9.09,16.13,-43.79
GB1,pose004,0.00,-54.34,-0.00,-54.34,-6.40,16.28,9.88,16.28,-44.46
GB1,pose005,0.00,-51.81,-0.00,-51.81,-6.02,14.23,8.21,14.23,-43.60
GB1,pose006,0.00,-45.39,-0.00,-45.40,-5.48,14.55,9.08,14.55,-36.32
GB1,pose007,0.00,-48.46,-0.00,-48.46,-6.01,12.99,6.99,12.99,-41.48
GB1,pose008,0.00,-50.88,-0.00,-50.88,-5.86,13.18,7.32,13.18,-43.56
GB1,pose009,0.00,-55.17,-0.00,-55.17,-6.82,16.81,9.99,16.81,-45.19
GB1,pose010,0.00,-52.86,-0.00,-52.86,-6.74,14.05,7.31,14.05,-45.55
GB2,pose001,0.00,-55.45,-0.00,-55.45,-4.80,20.09,15.29,20.09,-40.17
GB2,pose002,0.00,-57.18,-0.00,-57.18,-4.83,22.74,17.91,22.74,-39.26
GB2,pose003,0.00,-52.88,-0.00,-52.88,-4.89,20.25,15.36,20.25,-37.52
GB2,pose004,0.00,-54.34,-0.00,-54.34,-4.44,21.47,17.03,21.47,-37.31
GB2,pose005,0.00,-51.81,-0.00,-51.81,-4.18,18.63,14.45,18.63,-37.36
GB2,pose006,0.00,-45.39,-0.00,-45.40,-3.80,18.91,15.11,18.91,-30.29
GB2,pose007,0.00,-48.46,-0.00,-48.46,-4.17,17.13,12.95,17.13,-35.51
GB2,pose008,0.00,-50.88,-0.00,-50.88,-4.07,17.20,13.13,17.20,-37.75
GB2,pose009,0.00,-55.17,-0.00,-55.17,-4.74,22.12,17.38,22.12,-37.79
GB2,pose010,0.00,-52.86,-0.00,-52.86,-4.68,18.67,13.99,18.67,-38.87
GB5,pose001,0.00,-55.45,-0.00,-55.45,-4.80,21.86,17.06,21.86,-38.39
GB5,pose002,0.00,-57.18,-0.00,-57.18,-4.83,24.74,19.91,24.74,-37.26
GB5,pose003,0.00,-52.88,-0.00,-52.88,-4.89,21.82,16.93,21.82,-35.95
GB5,pose004,0.00,-54.34,-0.00,-54.34,-4.44,23.60,19.16,23.60,-35.19
GB5,pose005,0.00,-51.81,-0.00,-51.81,-4.18,20.20,16.02,20.20,-35.79
GB5,pose006,0.00,-45.39,-0.00,-45.40,-3.80,20.70,16.90,20.70,-28.50
GB5,pose007,0.00,-48.46,-0.00,-48.46,-4.17,18.38,14.21,18.38,-34.25
GB5,pose008,0.00,-50.88,-0.00,-50.88,-4.07,18.50,14.44,18.51,-36.45
GB5,pose009,0.00,-55.17,-0.00,-55.17,-4.74,24.18,19.44,24.18,-35.73
GB5,pose010,0.00,-52.86,-0.00,-52.86,-4.68,20.05,15.36,20.05,-37.50
GB6,pose001,0.00,-55.45,-0.00,-55.45,-5.69,43.96,38.27,43.96,-17.18
GB6,pose002,0.00,-57.18,-0.00,-57.18,-5.22,50.96,45.74,50.96,-11.44
GB6,pose003,0.00,-52.88,-0.00,-52.88,-5.52,42.16,36.65,42.16,-16.24
GB6,pose004,0.00,-54.34,-0.00,-54.34,-5.21,38.30,33.09,38.30,-21.26
GB6,pose005,0.00,-51.81,-0.00,-51.81,-5.17,30.14,24.97,30.14,-26.84
GB6,pose006,0.00,-45.39,-0.00,-45.40,-4.83,41.45,36.62,41.45,-8.78
GB6,pose007,0.00,-48.46,-0.00,-48.46,-4.99,32.47,27.48,32.47,-20.98
GB6,pose008,0.00,-50.88,-0.00,-50.88,-5.04,28.66,23.61,28.66,-27.27
GB6,pose009,0.00,-55.17,-0.00,-55.17,-5.36,50.35,44.99,50.35,-10.18
GB6,pose010,0.00,-52.86,-0.00,-52.86,-5.22,32.87,27.66,32.87,-25.21
GB7,pose001,0.00,-55.45,-0.00,-55.45,-4.80,26.26,21.46,26.26,-33.99
GB7,pose002,0.00,-57.18,-0.00,-57.18,-4.83,31.13,26.30,31.13,-30.88
GB7,pose003,0.00,-52.88,-0.00,-52.88,-4.89,25.72,20.83,25.72,-32.05
GB7,pose004,0.00,-54.34,-0.00,-54.34,-4.44,28.24,23.80,28.24,-30.54
GB7,pose005,0.00,-51.81,-0.00,-51.81,-4.18,22.53,18.35,22.53,-33.46
GB7,pose006,0.00,-45.39,-0.00,-45.40,-3.80,24.10,20.30,24.10,-25.10
GB7,pose007,0.00,-48.46,-0.00,-48.46,-4.17,20.43,16.26,20.43,-32.20
GB7,pose008,0.00,-50.88,-0.00,-50.88,-4.07,19.70,15.63,19.70,-35.25
GB7,pose009,0.00,-55.17,-0.00,-55.17,-4.74,29.12,24.38,29.12,-30.79
GB7,pose010,0.00,-52.86,-0.00,-52.86,-4.68,23.72,19.04,23.72,-33.82
GB8,pose001,0.00,-55.45,-0.00,-55.45,-4.80,27.45,22.66,27.45,-32.80
GB8,pose002,0.00,-57.18,-0.00,-57.18,-4.83,32.92,28.09,32.92,-29.09
GB8,pose003,0.00,-52.88,-0.00,-52.88,-4.89,27.12,22.23,27.12,-30.65
GB8,pose004,0.00,-54.34,-0.00,-54.34,-4.44,30.40,25.96,30.40,-28.39
GB8,pose005,0.00,-51.81,-0.00,-51.81,-4.18,25.73,21.55,25.73,-30.26
GB8,pose006,0.00,-45.39,-0.00,-45.40,-3.80,24.64,20.83,24.64,-24.56
GB8,pose007,0.00,-48.46,-0.00,-48.46,-4.17,22.29,18.12,22.29,-30.34
GB8,pose008,0.00,-50.88,-0.00,-50.88,-4.07,21.17,17.10,21.17,-33.78
GB8,pose009,0.00,-55.17,-0.00,-55.17,-4.74,32.05,27.31,32.05,-27.86
GB8,pose010,0.00,-52.86,-0.00,-52.86,-4.68,25.29,20.61,25.29,-32.26